date,XAU=,CLc1,LCOc1,GBP=,XLK,.IXTTR,XLE,.IXE,.RUT
10/2/1980 12:00:00 AM,665.75,,,2.3855,,,,,
10/3/1980 12:00:00 AM,660.5,,,2.3895,,,,,
10/4/1980 12:00:00 AM,0,,,,,,,,
10/5/1980 12:00:00 AM,0,,,,,,,,
10/6/1980 12:00:00 AM,675.8,,,2.3958,,,,,
10/7/1980 12:00:00 AM,678.15,,,2.3889,,,,,
10/8/1980 12:00:00 AM,677,,,2.3923,,,,,
10/9/1980 12:00:00 AM,690,,,2.3987,,,,,
10/10/1980 12:00:00 AM,685.25,,,2.4056,,,,,
10/11/1980 12:00:00 AM,0,,,,,,,,
10/12/1980 12:00:00 AM,0,,,,,,,,
10/13/1980 12:00:00 AM,685.25,,,2.412,,,,,
10/14/1980 12:00:00 AM,668.5,,,2.4079,,,,,
10/15/1980 12:00:00 AM,678.3,,,2.4085,,,,,
10/16/1980 12:00:00 AM,674,,,2.4155,,,,,
10/17/1980 12:00:00 AM,670.5,,,2.4172,,,,,
10/18/1980 12:00:00 AM,0,,,,,,,,
10/19/1980 12:00:00 AM,0,,,,,,,,
10/20/1980 12:00:00 AM,657,,,2.4242,,,,,
10/21/1980 12:00:00 AM,652.5,,,2.4402,,,,,
10/22/1980 12:00:00 AM,660,,,2.4355,,,,,
10/23/1980 12:00:00 AM,634.5,,,2.445,,,,,
10/24/1980 12:00:00 AM,633,,,2.4498,,,,,
10/25/1980 12:00:00 AM,0,,,,,,,,
10/26/1980 12:00:00 AM,0,,,,,,,,
10/27/1980 12:00:00 AM,637.25,,,2.4378,,,,,
10/28/1980 12:00:00 AM,631.75,,,2.4307,,,,,
10/29/1980 12:00:00 AM,644,,,2.4432,,,,,
10/30/1980 12:00:00 AM,642.8,,,2.4378,,,,,
10/31/1980 12:00:00 AM,629,,,2.4372,,,,,
11/1/1980 12:00:00 AM,0,,,,,,,,
11/2/1980 12:00:00 AM,0,,,,,,,,
11/3/1980 12:00:00 AM,640.5,,,2.4444,,,,,
11/4/1980 12:00:00 AM,640.5,,,2.4546,,,,,
11/5/1980 12:00:00 AM,652,,,2.4468,,,,,
11/6/1980 12:00:00 AM,632,,,2.4426,,,,,
11/7/1980 12:00:00 AM,596,,,2.4143,,,,,
11/8/1980 12:00:00 AM,0,,,,,,,,
11/9/1980 12:00:00 AM,0,,,,,,,,
11/10/1980 12:00:00 AM,612.8,,,2.3935,,,,,
11/11/1980 12:00:00 AM,598.5,,,2.3935,,,,,
11/12/1980 12:00:00 AM,619.5,,,2.3975,,,,,
11/13/1980 12:00:00 AM,622,,,2.4207,,,,,
11/14/1980 12:00:00 AM,612.5,,,2.4038,,,,,
11/15/1980 12:00:00 AM,0,,,,,,,,
11/16/1980 12:00:00 AM,0,,,,,,,,
11/17/1980 12:00:00 AM,611.75,,,2.3958,,,,,
11/18/1980 12:00:00 AM,619,,,2.3975,,,,,
11/19/1980 12:00:00 AM,629.75,,,2.3793,,,,,
11/20/1980 12:00:00 AM,630.5,,,2.3883,,,,,
11/21/1980 12:00:00 AM,634.75,,,2.3641,,,,,
11/22/1980 12:00:00 AM,0,,,,,,,,
11/23/1980 12:00:00 AM,0,,,,,,,,
11/24/1980 12:00:00 AM,631,,,2.3485,,,,,
11/25/1980 12:00:00 AM,616.35,,,2.3524,,,,,
11/26/1980 12:00:00 AM,623,,,2.3702,,,,,
11/27/1980 12:00:00 AM,623,,,2.3624,,,,,
11/28/1980 12:00:00 AM,623,,,2.3585,,,,,
11/29/1980 12:00:00 AM,0,,,,,,,,
11/30/1980 12:00:00 AM,0,,,,,,,,
12/1/1980 12:00:00 AM,635.3,,,2.3502,,,,,
12/2/1980 12:00:00 AM,627,,,2.3463,,,,,
12/3/1980 12:00:00 AM,627.5,,,2.3463,,,,,
12/4/1980 12:00:00 AM,631.5,,,2.3469,,,,,
12/5/1980 12:00:00 AM,617,,,2.3397,,,,,
12/6/1980 12:00:00 AM,0,,,,,,,,
12/7/1980 12:00:00 AM,0,,,,,,,,
12/8/1980 12:00:00 AM,617.25,,,2.3403,,,,,
12/9/1980 12:00:00 AM,604,,,2.3392,,,,,
12/10/1980 12:00:00 AM,579,,,2.3408,,,,,
12/11/1980 12:00:00 AM,558,,,2.317,,,,,
12/12/1980 12:00:00 AM,562.75,,,2.324,,,,,
12/13/1980 12:00:00 AM,0,,,,,,,,
12/14/1980 12:00:00 AM,0,,,,,,,,
12/15/1980 12:00:00 AM,579.3,,,2.3337,,,,,
12/16/1980 12:00:00 AM,561,,,2.318,,,,,
12/17/1980 12:00:00 AM,575.75,,,2.3207,,,,,
12/18/1980 12:00:00 AM,573.5,,,2.324,,,,,
12/19/1980 12:00:00 AM,575,,,2.3272,,,,,
12/20/1980 12:00:00 AM,0,,,,,,,,
12/21/1980 12:00:00 AM,0,,,,,,,,
12/22/1980 12:00:00 AM,594.75,,,2.3546,,,,,
12/23/1980 12:00:00 AM,602.5,,,2.373,,,,,
12/24/1980 12:00:00 AM,601,,,2.3702,,,,,
12/25/1980 12:00:00 AM,601,,,0,,,,,
12/26/1980 12:00:00 AM,601,,,0,,,,,
12/27/1980 12:00:00 AM,0,,,,,,,,
12/28/1980 12:00:00 AM,0,,,,,,,,
12/29/1980 12:00:00 AM,593.75,,,2.3646,,,,,
12/30/1980 12:00:00 AM,589.25,,,2.3958,,,,,
12/31/1980 12:00:00 AM,586,,,2.3918,,,,,
1/1/1981 12:00:00 AM,586,,,0,,,,,
1/2/1981 12:00:00 AM,586,,,2.3798,,,,,
1/3/1981 12:00:00 AM,0,,,,,,,,
1/4/1981 12:00:00 AM,0,,,,,,,,
1/5/1981 12:00:00 AM,597.5,,,2.4114,,,,,
1/6/1981 12:00:00 AM,599.25,,,2.4231,,,,,
1/7/1981 12:00:00 AM,585,,,2.4166,,,,,
1/8/1981 12:00:00 AM,574.75,,,2.4021,,,,,
1/9/1981 12:00:00 AM,577.75,,,2.3998,,,,,
1/10/1981 12:00:00 AM,0,,,,,,,,
1/11/1981 12:00:00 AM,0,,,,,,,,
1/12/1981 12:00:00 AM,562,,,2.4004,,,,,
1/13/1981 12:00:00 AM,562.75,,,2.3872,,,,,
1/14/1981 12:00:00 AM,556.5,,,2.3958,,,,,
1/15/1981 12:00:00 AM,571.5,,,2.4033,,,,,
1/16/1981 12:00:00 AM,560.75,,,2.3987,,,,,
1/17/1981 12:00:00 AM,0,,,,,,,,
1/18/1981 12:00:00 AM,0,,,,,,,,
1/19/1981 12:00:00 AM,566.75,,,2.4108,,,,,
1/20/1981 12:00:00 AM,562,,,2.4137,,,,,
1/21/1981 12:00:00 AM,578,,,2.426,,,,,
1/22/1981 12:00:00 AM,564,,,2.412,,,,,
1/23/1981 12:00:00 AM,553,,,2.4073,,,,,
1/24/1981 12:00:00 AM,0,,,,,,,,
1/25/1981 12:00:00 AM,0,,,,,,,,
1/26/1981 12:00:00 AM,528.5,,,2.4108,,,,,
1/27/1981 12:00:00 AM,524,,,2.412,,,,,
1/28/1981 12:00:00 AM,523.5,,,2.412,,,,,
1/29/1981 12:00:00 AM,493.75,,,2.3987,,,,,
1/30/1981 12:00:00 AM,506.5,,,2.3753,,,,,
1/31/1981 12:00:00 AM,0,,,,,,,,
2/1/1981 12:00:00 AM,0,,,,,,,,
2/2/1981 12:00:00 AM,493.5,,,2.3502,,,,,
2/3/1981 12:00:00 AM,486.25,,,2.3354,,,,,
2/4/1981 12:00:00 AM,505,,,2.3535,,,,,
2/5/1981 12:00:00 AM,498.5,,,2.3458,,,,,
2/6/1981 12:00:00 AM,500.5,,,2.331,,,,,
2/7/1981 12:00:00 AM,0,,,,,,,,
2/8/1981 12:00:00 AM,0,,,,,,,,
2/9/1981 12:00:00 AM,512.5,,,2.3403,,,,,
2/10/1981 12:00:00 AM,519.5,,,2.3375,,,,,
2/11/1981 12:00:00 AM,501,,,2.3354,,,,,
2/12/1981 12:00:00 AM,490.25,,,2.3164,,,,,
2/13/1981 12:00:00 AM,491.5,,,2.2894,,,,,
2/14/1981 12:00:00 AM,0,,,,,,,,
2/15/1981 12:00:00 AM,0,,,,,,,,
2/16/1981 12:00:00 AM,491.5,,,2.2568,,,,,
2/17/1981 12:00:00 AM,500.75,,,2.2635,,,,,
2/18/1981 12:00:00 AM,505,,,2.2774,,,,,
2/19/1981 12:00:00 AM,503.25,,,2.2763,,,,,
2/20/1981 12:00:00 AM,511.5,,,2.325,,,,,
2/21/1981 12:00:00 AM,0,,,,,,,,
2/22/1981 12:00:00 AM,0,,,,,,,,
2/23/1981 12:00:00 AM,501.5,,,2.2578,,,,,
2/24/1981 12:00:00 AM,503,,,2.2306,,,,,
2/25/1981 12:00:00 AM,500.5,,,2.2277,,,,,
2/26/1981 12:00:00 AM,492,,,2.2272,,,,,
2/27/1981 12:00:00 AM,489,,,2.2031,,,,,
2/28/1981 12:00:00 AM,0,,,,,,,,
3/1/1981 12:00:00 AM,0,,,,,,,,
3/2/1981 12:00:00 AM,465.5,,,2.1815,,,,,
3/3/1981 12:00:00 AM,471,,,2.1988,,,,,
3/4/1981 12:00:00 AM,465.5,,,2.1968,,,,,
3/5/1981 12:00:00 AM,461.5,,,2.2017,,,,,
3/6/1981 12:00:00 AM,467,,,2.1935,,,,,
3/7/1981 12:00:00 AM,0,,,,,,,,
